Bigram Table--The chairman made the decision to bring in a new financial planner
,the,chairman,made,decision,to,bring,in,a,new,financial,planner
the,3,37,0,4,7,0,20,66,39,0,0
chairman,0,0,0,0,3,0,1,139,0,0,0
made,3,0,0,0,0,0,3,4,0,0,0
decision,0,0,0,0,7,0,0,0,0,0,0
to,83,0,0,0,3,1,9,58,0,0,0
bring,0,0,0,0,0,0,0,0,0,0,0
in,106,4,0,0,4,0,7,90,11,2,0
a,0,0,0,1,11,0,3,6,24,2,0
new,0,5,0,0,0,0,1,2,0,0,0
financial,0,0,0,0,0,0,1,4,0,0,0
planner,0,0,0,0,0,0,0,0,0,0,0
 
Bigram Smoothing Table--The chairman made the decision to bring in a new financial planner
,the,chairman,made,decision,to,bring,in,a,new,financial,planner
the,4,38,1,5,8,1,21,67,40,1,1
chairman,1,1,1,1,4,1,2,140,1,1,1
made,4,1,1,1,1,1,4,5,1,1,1
decision,1,1,1,1,8,1,1,1,1,1,1
to,84,1,1,1,4,2,10,59,1,1,1
bring,1,1,1,1,1,1,1,1,1,1,1
in,107,5,1,1,5,1,8,91,12,3,1
a,1,1,1,2,12,1,4,7,25,3,1
new,1,6,1,1,1,1,2,3,1,1,1
financial,1,1,1,1,1,1,2,5,1,1,1
planner,1,1,1,1,1,1,1,1,1,1,1
 
Bigram Probability Table--The chairman made the decision to bring in a new financial planner
,the,chairman,made,decision,to,bring,in,a,new,financial,planner
the,0.0018951358180669614,0.02337334175615919,0.0,0.002526847757422615,0.004421983575489577,0.0,0.012634238787113077,0.041692987997473153,0.024636765634870498,0.0,0.0
chairman,0.0,0.0,0.0,0.0,0.005253940455341506,0.0,0.0017513134851138354,0.2434325744308231,0.0,0.0,0.0
made,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.2,0.0,0.0,0.0
decision,0.0,0.0,0.0,0.0,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,0.0
to,0.125948406676783,0.0,0.0,0.0,0.004552352048558422,0.0015174506828528073,0.013657056145675266,0.08801213960546282,0.0,0.0,0.0
bring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in,0.26108374384236455,0.009852216748768473,0.0,0.0,0.009852216748768473,0.0,0.017241379310344827,0.22167487684729065,0.027093596059113302,0.0049261083743842365,0.0
a,0.0,0.0,0.0,0.001589825119236884,0.017488076311605722,0.0,0.0047694753577106515,0.009538950715421303,0.03815580286168521,0.003179650238473768,0.0
new,0.0,0.05,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0
financial,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.16,0.0,0.0,0.0
planner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 
Bigram Smoothing Probability Table--The chairman made the decision to bring in a new financial planner
,the,chairman,made,decision,to,bring,in,a,new,financial,planner
the,0.0006075334143377885,0.005771567436208992,0.00015188335358444713,0.0007594167679222357,0.001215066828675577,0.00015188335358444713,0.00318955042527339,0.010176184690157958,0.006075334143377886,0.00015188335358444713,0.00015188335358444713
chairman,0.00017946877243359656,0.00017946877243359656,0.00017946877243359656,0.00017946877243359656,0.0007178750897343862,0.00017946877243359656,0.0003589375448671931,0.02512562814070352,0.00017946877243359656,0.00017946877243359656,0.00017946877243359656
made,0.0007966540529774945,0.00019916351324437363,0.00019916351324437363,0.00019916351324437363,0.00019916351324437363,0.00019916351324437363,0.0007966540529774945,0.0009958175662218682,0.00019916351324437363,0.00019916351324437363,0.00019916351324437363
decision,0.00019924287706714485,0.00019924287706714485,0.00019924287706714485,0.00019924287706714485,0.0015939430165371588,0.00019924287706714485,0.00019924287706714485,0.00019924287706714485,0.00019924287706714485,0.00019924287706714485,0.00019924287706714485
to,0.014840989399293287,0.00017667844522968197,0.00017667844522968197,0.00017667844522968197,0.0007067137809187279,0.00035335689045936394,0.0017667844522968198,0.010424028268551237,0.00017667844522968197,0.00017667844522968197,0.00017667844522968197
bring,0.00019984012789768185,0.00019984012789768185,0.00019984012789768185,0.00019984012789768185,0.00019984012789768185,0.00019984012789768185,0.00019984012789768185,0.00019984012789768185,0.00019984012789768185,0.00019984012789768185,0.00019984012789768185
in,0.01978916219715184,0.0009247272054743851,0.000184945441094877,0.000184945441094877,0.0009247272054743851,0.000184945441094877,0.001479563528759016,0.016830035139633808,0.002219345293138524,0.000554836323284631,0.000184945441094877
a,0.00017761989342806393,0.00017761989342806393,0.00017761989342806393,0.00035523978685612787,0.0021314387211367673,0.00017761989342806393,0.0007104795737122557,0.0012433392539964476,0.004440497335701598,0.0005328596802841918,0.00017761989342806393
new,0.00019603999215840032,0.001176239952950402,0.00019603999215840032,0.00019603999215840032,0.00019603999215840032,0.00019603999215840032,0.00039207998431680063,0.000588119976475201,0.00019603999215840032,0.00019603999215840032,0.00019603999215840032
financial,0.00019896538002387584,0.00019896538002387584,0.00019896538002387584,0.00019896538002387584,0.00019896538002387584,0.00019896538002387584,0.0003979307600477517,0.0009948269001193793,0.00019896538002387584,0.00019896538002387584,0.00019896538002387584
planner,0.00019992003198720512,0.00019992003198720512,0.00019992003198720512,0.00019992003198720512,0.00019992003198720512,0.00019992003198720512,0.00019992003198720512,0.00019992003198720512,0.00019992003198720512,0.00019992003198720512,0.00019992003198720512
 
The chairman made the decision to bring in a new financial plannerprobability
Bigram Probabilty,Bigram Smoothing Probabilty
0.0,4.1113424059437605e-38
Bigram Table--The profit of the company was going down last year said by the chief executive
,the,profit,of,company,was,going,down,last,year,said,by,chief,executive
the,3,0,16,75,1,0,0,4,4,0,0,1,4
profit,0,0,0,0,0,0,0,0,0,0,0,0,0
of,259,0,1,1,0,1,0,1,0,0,0,2,0
company,0,0,0,0,1,0,0,0,0,3,1,0,0
was,4,0,0,0,0,0,1,0,0,0,0,0,0
going,0,0,1,0,0,0,0,0,0,0,0,0,0
down,7,0,0,0,0,0,0,0,0,0,0,0,0
last,0,0,0,0,0,0,0,0,4,0,0,0,0
year,0,0,1,0,0,0,0,0,0,0,0,0,0
said,38,0,1,0,0,0,0,0,0,0,0,1,0
by,41,0,0,0,0,0,0,0,0,0,0,0,0
chief,0,0,1,0,0,0,0,0,0,0,0,0,146
executive,0,0,114,0,0,0,0,0,0,1,0,0,0
 
Bigram Smoothing Table--The profit of the company was going down last year said by the chief executive
,the,profit,of,company,was,going,down,last,year,said,by,chief,executive
the,4,1,17,76,2,1,1,5,5,1,1,2,5
profit,1,1,1,1,1,1,1,1,1,1,1,1,1
of,260,1,2,2,1,2,1,2,1,1,1,3,1
company,1,1,1,1,2,1,1,1,1,4,2,1,1
was,5,1,1,1,1,1,2,1,1,1,1,1,1
going,1,1,2,1,1,1,1,1,1,1,1,1,1
down,8,1,1,1,1,1,1,1,1,1,1,1,1
last,1,1,1,1,1,1,1,1,5,1,1,1,1
year,1,1,2,1,1,1,1,1,1,1,1,1,1
said,39,1,2,1,1,1,1,1,1,1,1,2,1
by,42,1,1,1,1,1,1,1,1,1,1,1,1
chief,1,1,2,1,1,1,1,1,1,1,1,1,147
executive,1,1,115,1,1,1,1,1,1,2,1,1,1
 
Bigram Probability Table--The profit of the company was going down last year said by the chief executive
,the,profit,of,company,was,going,down,last,year,said,by,chief,executive
the,0.0018951358180669614,0.0,0.01010739102969046,0.047378395451674035,0.0006317119393556538,0.0,0.0,0.002526847757422615,0.002526847757422615,0.0,0.0,0.0006317119393556538,0.002526847757422615
profit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
of,0.27465535524920465,0.0,0.0010604453870625664,0.0010604453870625664,0.0,0.0010604453870625664,0.0,0.0010604453870625664,0.0,0.0,0.0,0.0021208907741251328,0.0
company,0.0,0.0,0.0,0.0,0.006756756756756757,0.0,0.0,0.0,0.0,0.02027027027027027,0.006756756756756757,0.0,0.0
was,0.022857142857142857,0.0,0.0,0.0,0.0,0.0,0.005714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
going,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
down,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
last,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12121212121212122,0.0,0.0,0.0,0.0
year,0.0,0.0,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
said,0.13523131672597866,0.0,0.0035587188612099642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035587188612099642,0.0
by,0.3014705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chief,0.0,0.0,0.00510204081632653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7448979591836735
executive,0.0,0.0,0.5968586387434555,0.0,0.0,0.0,0.0,0.0,0.0,0.005235602094240838,0.0,0.0,0.0
 
Bigram Smoothing Probability Table--The profit of the company was going down last year said by the chief executive
,the,profit,of,company,was,going,down,last,year,said,by,chief,executive
the,0.0006075334143377885,0.00015188335358444713,0.0025820170109356016,0.011543134872417983,0.00030376670716889426,0.00015188335358444713,0.00015188335358444713,0.0007594167679222357,0.0007594167679222357,0.00015188335358444713,0.00015188335358444713,0.00030376670716889426,0.0007594167679222357
profit,0.00019956096587507485,0.00019956096587507485,0.00019956096587507485,0.00019956096587507485,0.00019956096587507485,0.00019956096587507485,0.00019956096587507485,0.00019956096587507485,0.00019956096587507485,0.00019956096587507485,0.00019956096587507485,0.00019956096587507485,0.00019956096587507485
of,0.04374158815612382,0.00016823687752355316,0.00033647375504710633,0.00033647375504710633,0.00016823687752355316,0.00033647375504710633,0.00016823687752355316,0.00033647375504710633,0.00016823687752355316,0.00016823687752355316,0.00016823687752355316,0.0005047106325706595,0.00016823687752355316
company,0.0001942124684404739,0.0001942124684404739,0.0001942124684404739,0.0001942124684404739,0.0003884249368809478,0.0001942124684404739,0.0001942124684404739,0.0001942124684404739,0.0001942124684404739,0.0007768498737618955,0.0003884249368809478,0.0001942124684404739,0.0001942124684404739
was,0.0009659969088098918,0.00019319938176197836,0.00019319938176197836,0.00019319938176197836,0.00019319938176197836,0.00019319938176197836,0.0003863987635239567,0.00019319938176197836,0.00019319938176197836,0.00019319938176197836,0.00019319938176197836,0.00019319938176197836,0.00019319938176197836
going,0.00019968051118210862,0.00019968051118210862,0.00039936102236421724,0.00019968051118210862,0.00019968051118210862,0.00019968051118210862,0.00019968051118210862,0.00019968051118210862,0.00019968051118210862,0.00019968051118210862,0.00019968051118210862,0.00019968051118210862,0.00019968051118210862
down,0.001593308105954989,0.00019916351324437363,0.00019916351324437363,0.00019916351324437363,0.00019916351324437363,0.00019916351324437363,0.00019916351324437363,0.00019916351324437363,0.00019916351324437363,0.00019916351324437363,0.00019916351324437363,0.00019916351324437363,0.00019916351324437363
